mac_cnt_1m,mac_cnt_2m,mac_cnt_3m,mac_cnt_d1m,mac_cnt_d2m,mac_cnt_d3m,mac_cnt_p1m,mac_cnt_p2m,mac_cnt_p3m,client_id
152608,2.0,5.0,6.0,-0.3333333333333333,1.5,1.0,3.0,2.0,3.0,182205
29258,,,,0.0,0.0,0.0,,,,170702
50036,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,52617
154489,,,,0.0,0.0,0.0,,,,87948
14931,,,,0.0,0.0,0.0,,,,10092
84934,1.0,1.0,1.0,1.0,1.0,1.0,,,,95609
134729,,,,0.0,0.0,0.0,,,,193965
93542,,,,0.0,0.0,0.0,,,,21491
32786,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,6077
51343,,,,0.0,0.0,0.0,,,,157981
9917,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,81369
150431,,,,0.0,0.0,0.0,,,,150954
71657,,,,0.0,0.0,0.0,,,,6131
14596,,,,0.0,0.0,0.0,,,,159095
42421,1.0,2.0,3.0,0.0,-0.3333333333333333,-0.25,1.0,3.0,4.0,114034
118582,,,,0.0,0.0,0.0,,,,171664
102217,,,,0.0,0.0,0.0,,,,33555
151085,,,,0.0,0.0,0.0,,,,53187
103812,,,,0.0,0.0,0.0,,,,42332
23150,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,76494
153961,,,,0.0,0.0,0.0,,,,48117
124709,2.0,5.0,7.0,-0.3333333333333333,0.25,0.1666666666666667,3.0,4.0,6.0,188652
67549,2.0,3.0,4.0,1.0,0.5,0.3333333333333333,1.0,2.0,3.0,170376
21325,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,36591
35710,,,,0.0,0.0,0.0,,,,44817
137204,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,74018
28350,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,89547
75251,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,17128
136007,,,,0.0,0.0,0.0,,,,28258
30862,,,,0.0,0.0,0.0,,,,143244
6034,,,,0.0,0.0,0.0,,,,91473
78006,,,,0.0,0.0,0.0,,,,152180
160058,2.0,3.0,4.0,1.0,0.5,0.3333333333333333,1.0,2.0,3.0,126750
125563,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,11274
6102,2.0,4.0,6.0,0.0,-0.2,-0.1428571428571429,2.0,5.0,7.0,149097
54519,,,,0.0,0.0,0.0,,,,177971
35154,,,,0.0,0.0,0.0,,,,13877
25776,,,,0.0,0.0,0.0,,,,158586
8524,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,65591
110812,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,99416
157317,3.0,5.0,7.0,0.5,0.25,0.1666666666666667,2.0,4.0,6.0,120189
47014,,,,0.0,0.0,0.0,,,,179330
156555,,,,0.0,0.0,0.0,,,,154269
58572,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,37112
32187,,,,0.0,0.0,0.0,,,,178097
112955,,,,0.0,0.0,0.0,,,,195306
46230,,,,0.0,0.0,0.0,,,,156850
85439,,,,0.0,0.0,0.0,,,,158031
7738,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,98946
102987,,,,0.0,0.0,0.0,,,,21733
4288,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,123986
143431,,,,0.0,0.0,0.0,,,,173262
14232,,,,0.0,0.0,0.0,,,,83292
149503,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,7705
143317,,,,0.0,0.0,0.0,,,,58690
2152,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,46597
139130,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,35034
130079,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,126205
97490,2.0,5.0,7.0,-0.3333333333333333,0.25,0.1666666666666667,3.0,4.0,6.0,186806
112817,2.0,4.0,6.0,0.0,0.0,-0.1428571428571429,2.0,4.0,7.0,137351
101988,1.0,2.0,3.0,0.0,-0.3333333333333333,-0.25,1.0,3.0,4.0,157000
90023,,,,0.0,0.0,0.0,,,,103231
62916,,,,0.0,0.0,0.0,,,,24941
71872,,,,0.0,0.0,0.0,,,,128059
113103,,,,0.0,0.0,0.0,,,,160810
150944,,,,0.0,0.0,0.0,,,,92701
97149,2.0,3.0,4.0,1.0,0.5,0.3333333333333333,1.0,2.0,3.0,179341
74193,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,107609
153292,,,,0.0,0.0,0.0,,,,7613
121281,,,,0.0,0.0,0.0,,,,81959
62644,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,58200
14191,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,135512
34588,,,,0.0,0.0,0.0,,,,134834
87353,,,,0.0,0.0,0.0,,,,133842
131894,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,52803
127816,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,95109
63492,,,,0.0,0.0,0.0,,,,168117
89099,,,,0.0,0.0,0.0,,,,67775
92702,,,,0.0,0.0,0.0,,,,140530
106025,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,43803
97512,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,16895
80617,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,45474
65220,,,,0.0,0.0,0.0,,,,31540
82316,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,79157
154380,,,,0.0,0.0,0.0,,,,61059
156531,,,,0.0,0.0,0.0,,,,140751
96382,,,,0.0,0.0,0.0,,,,168448
98160,,,,0.0,0.0,0.0,,,,148153
81832,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,111917
86546,,,,0.0,0.0,0.0,,,,85702
61813,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,122437
79104,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,189298
118978,,,,0.0,0.0,0.0,,,,24715
156050,,,,0.0,0.0,0.0,,,,59172
121979,1.0,3.0,4.0,-0.5,0.0,-0.3333333333333333,2.0,3.0,6.0,43878
134106,,,,0.0,0.0,0.0,,,,61008
137255,,,,0.0,0.0,0.0,,,,116921
116551,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,144707
72313,,,,0.0,0.0,0.0,,,,100593
32921,,,,0.0,0.0,0.0,,,,30433
142852,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,183436
149802,1.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,108057
77728,,,,0.0,0.0,0.0,,,,122636
30917,2.0,5.0,7.0,-0.3333333333333333,0.25,0.1666666666666667,3.0,4.0,6.0,95046
34479,,,,0.0,0.0,0.0,,,,59230
74744,,,,0.0,0.0,0.0,,,,120414
159256,,,,0.0,0.0,0.0,,,,131205
103649,,,,0.0,0.0,0.0,,,,130452
14895,,,,0.0,0.0,0.0,,,,115158
112255,,,,0.0,0.0,0.0,,,,149236
4926,,,,0.0,0.0,0.0,,,,9376
128452,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,5883
124651,,,,0.0,0.0,0.0,,,,143655
27275,,,,0.0,0.0,0.0,,,,122547
27855,,,,0.0,0.0,0.0,,,,165077
118433,,,,0.0,0.0,0.0,,,,99084
88021,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,185298
5258,,,,0.0,0.0,0.0,,,,56191
16166,,,,0.0,0.0,0.0,,,,75356
92083,,,,0.0,0.0,0.0,,,,136373
110807,,,,0.0,0.0,0.0,,,,11744
74713,,,,0.0,0.0,0.0,,,,637
64210,,,,0.0,0.0,0.0,,,,45711
9298,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,18068
43639,,,,0.0,0.0,0.0,,,,21236
66720,,,,0.0,0.0,0.0,,,,201131
116491,1.0,4.0,5.0,-0.6666666666666667,1.0,1.5,3.0,2.0,2.0,104101
136932,,,,0.0,0.0,0.0,,,,88593
92641,1.0,2.0,3.0,0.0,0.0,-0.25,1.0,2.0,4.0,182774
44495,,,,0.0,0.0,0.0,,,,16045
64249,,,,0.0,0.0,0.0,,,,86542
91563,,,,0.0,0.0,0.0,,,,34867
29421,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,30353
8281,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,174817
151032,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,29251
160265,,,,0.0,0.0,0.0,,,,147358
49881,,,,0.0,0.0,0.0,,,,54627
72744,,,,0.0,0.0,0.0,,,,193999
19147,,,,0.0,0.0,0.0,,,,200017
10205,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,188740
101823,,,,0.0,0.0,0.0,,,,79136
5913,,,,0.0,0.0,0.0,,,,74342
15089,1.0,4.0,5.0,-0.6666666666666667,3.0,1.0,3.0,1.0,,113706
112023,,,,0.0,0.0,0.0,,,,31360
3147,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,185367
24237,,,,0.0,0.0,0.0,,,,38286
31311,,,,0.0,0.0,0.0,,,,20603
110695,,,,0.0,0.0,0.0,,,,11011
125662,,,,0.0,0.0,0.0,,,,173127
145160,,,,0.0,0.0,0.0,,,,21346
146629,,,,0.0,0.0,0.0,,,,69421
16596,,,,0.0,0.0,0.0,,,,104715
132681,,,,0.0,0.0,0.0,,,,86482
39119,,,,0.0,0.0,0.0,,,,82508
53552,,,,0.0,0.0,0.0,,,,112354
20946,,,,0.0,0.0,0.0,,,,5983
90563,,,,0.0,0.0,0.0,,,,192877
8798,,,,0.0,0.0,0.0,,,,154984
62928,,,,0.0,0.0,0.0,,,,66651
50558,1.0,2.0,3.0,0.0,0.0,-0.25,1.0,2.0,4.0,93904
54959,,,,0.0,0.0,0.0,,,,172031
9544,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,133378
10214,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,118032
79787,,,,0.0,0.0,0.0,,,,200024
135303,,,,0.0,0.0,0.0,,,,95266
76771,,,,0.0,0.0,0.0,,,,149394
6437,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,125859
20412,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,128092
45542,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,199752
124229,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,7262
68067,,,,0.0,0.0,0.0,,,,26016
79311,,,,0.0,0.0,0.0,,,,171950
4826,1.0,4.0,5.0,-0.6666666666666667,1.0,0.6666666666666667,3.0,2.0,3.0,189010
6831,,,,0.0,0.0,0.0,,,,115570
87042,,,,0.0,0.0,0.0,,,,5656
65915,,,,0.0,0.0,0.0,,,,95948
104165,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,102166
141762,,,,0.0,0.0,0.0,,,,21516
76639,1.0,3.0,4.0,-0.5,0.0,0.0,2.0,3.0,4.0,161026
115084,,,,0.0,0.0,0.0,,,,49549
82608,3.0,4.0,7.0,2.0,0.0,1.3333333333333337,1.0,4.0,3.0,61680
78923,,,,0.0,0.0,0.0,,,,91406
15245,,,,0.0,0.0,0.0,,,,61315
142145,,,,0.0,0.0,0.0,,,,30333
107807,,,,0.0,0.0,0.0,,,,84740
135499,,,,0.0,0.0,0.0,,,,141896
141216,1.0,2.0,3.0,0.0,0.0,0.5,1.0,2.0,2.0,143255
81450,4.0,5.0,9.0,3.0,0.0,2.0,1.0,5.0,3.0,9471
93021,,,,0.0,0.0,0.0,,,,20337
39017,2.0,3.0,4.0,1.0,0.5,0.0,1.0,2.0,4.0,164209
40201,,,,0.0,0.0,0.0,,,,56649
110517,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,165808
5854,,,,0.0,0.0,0.0,,,,7544
51756,,,,0.0,0.0,0.0,,,,103953
2242,1.0,3.0,3.0,-0.5,1.0,1.0,2.0,,,85721
114293,,,,0.0,0.0,0.0,,,,93734
127957,2.0,5.0,7.0,-0.3333333333333333,0.25,0.1666666666666667,3.0,4.0,6.0,132634
11869,,,,0.0,0.0,0.0,,,,125689
44912,,,,0.0,0.0,0.0,,,,73792
46366,,,,0.0,0.0,0.0,,,,131068
15496,,,,0.0,0.0,0.0,,,,11535
151948,,,,0.0,0.0,0.0,,,,184458
126881,,,,0.0,0.0,0.0,,,,183079
84443,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,76426
59042,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,109164
40088,,,,0.0,0.0,0.0,,,,1200
53097,2.0,5.0,6.0,-0.3333333333333333,1.5,1.0,3.0,2.0,3.0,32475
33555,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,153638
54964,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,137265
45614,,,,0.0,0.0,0.0,,,,21967
109229,,,,0.0,0.0,0.0,,,,37704
29236,,,,0.0,0.0,0.0,,,,153049
37271,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,84494
1396,,,,0.0,0.0,0.0,,,,180483
115933,,,,0.0,0.0,0.0,,,,103238
70647,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,42762
28840,,,,0.0,0.0,0.0,,,,187271
18339,1.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,140688
56576,,,,0.0,0.0,0.0,,,,122123
160458,3.0,5.0,7.0,0.5,0.6666666666666667,1.3333333333333337,2.0,3.0,3.0,197535
151936,,,,0.0,0.0,0.0,,,,33165
5871,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,182828
25817,2.0,5.0,7.0,-0.3333333333333333,0.25,0.1666666666666667,3.0,4.0,6.0,24045
76401,,,,0.0,0.0,0.0,,,,178474
96772,,,,0.0,0.0,0.0,,,,7189
7602,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,55588
140829,,,,0.0,0.0,0.0,,,,88693
32438,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,166741
108403,,,,0.0,0.0,0.0,,,,57550
76476,,,,0.0,0.0,0.0,,,,191503
148501,2.0,3.0,4.0,1.0,0.5,0.3333333333333333,1.0,2.0,3.0,191549
11956,,,,0.0,0.0,0.0,,,,126639
113595,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,130693
4123,1.0,3.0,4.0,-0.5,2.0,1.0,2.0,1.0,2.0,177877
81760,,,,0.0,0.0,0.0,,,,30296
30427,,,,0.0,0.0,0.0,,,,6861
93906,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,57580
142862,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,36993
109069,,,,0.0,0.0,0.0,,,,56578
47557,,,,0.0,0.0,0.0,,,,88177
97900,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,98476
112648,,,,0.0,0.0,0.0,,,,31771
125397,,,,0.0,0.0,0.0,,,,97691
34713,2.0,4.0,7.0,0.0,-0.2,0.1666666666666667,2.0,5.0,6.0,48364
86385,,,,0.0,0.0,0.0,,,,49369
35196,,,,0.0,0.0,0.0,,,,194351
136099,2.0,4.0,6.0,0.0,0.0,-0.25,2.0,4.0,8.0,134406
126229,,,,0.0,0.0,0.0,,,,148061
45970,3.0,6.0,9.0,0.0,0.0,0.0,3.0,6.0,9.0,22972
102369,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,77152
41027,,,,0.0,0.0,0.0,,,,78954
57437,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,199551
33568,,,,0.0,0.0,0.0,,,,97284
78143,,,,0.0,0.0,0.0,,,,152898
99092,,,,0.0,0.0,0.0,,,,189056
46209,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,64938
112573,,,,0.0,0.0,0.0,,,,105090
107370,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,19690
20056,2.0,4.0,5.0,0.0,0.3333333333333333,-0.1666666666666666,2.0,3.0,6.0,47608
55352,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,173516
58266,,,,0.0,0.0,0.0,,,,10312
78858,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,4640
156930,,,,0.0,0.0,0.0,,,,106000
158167,,,,0.0,0.0,0.0,,,,99473
55429,,,,0.0,0.0,0.0,,,,116713
12082,,,,0.0,0.0,0.0,,,,90197
123572,,,,0.0,0.0,-1.0,,,2.0,31653
130208,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,189377
39224,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,115864
17457,,,,0.0,0.0,0.0,,,,12174
15671,,,,0.0,0.0,0.0,,,,176138
116311,,,,0.0,0.0,0.0,,,,70792
130838,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,85401
100140,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,104145
46465,,,,0.0,0.0,0.0,,,,149068
24837,,,,0.0,0.0,0.0,,,,32654
31756,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,147054
2034,3.0,5.0,7.0,0.5,0.25,0.1666666666666667,2.0,4.0,6.0,95293
3017,2.0,5.0,7.0,-0.3333333333333333,0.25,0.0,3.0,4.0,7.0,162574
2506,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,17925
38648,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,58279
156412,,,,0.0,0.0,0.0,,,,182921
157322,,,,0.0,0.0,0.0,,,,178124
42341,,,,0.0,0.0,0.0,,,,84246
32308,,,,0.0,0.0,0.0,,,,192863
64126,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,155882
93615,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,83890
25783,,,,0.0,0.0,0.0,,,,3661
81194,,,,0.0,0.0,0.0,,,,52137
82723,,,,0.0,0.0,0.0,,,,33725
103760,,,,0.0,0.0,0.0,,,,50712
6691,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,21779
71458,,,,0.0,0.0,0.0,,,,49964
37114,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,104070
24140,,,,0.0,0.0,0.0,,,,106727
35311,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,100887
116118,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,191118
102535,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,169682
94268,,,,0.0,0.0,0.0,,,,113031
96511,,,,0.0,0.0,0.0,,,,188978
116731,,,,0.0,0.0,0.0,,,,128869
151261,1.0,3.0,5.0,-0.5,-0.25,0.0,2.0,4.0,5.0,29176
158123,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,59559
141656,,,,0.0,0.0,0.0,,,,112630
77483,,,,0.0,0.0,0.0,,,,142175
127360,,,,0.0,0.0,0.0,,,,143034
27570,1.0,1.0,1.0,1.0,1.0,1.0,,,,191126
38263,,,,0.0,0.0,0.0,,,,123582
13185,,,,0.0,0.0,0.0,,,,40556
140670,,,,0.0,0.0,0.0,,,,190451
20724,,,,0.0,0.0,0.0,,,,125965
95917,1.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,85755
39543,,,,0.0,0.0,0.0,,,,101024
68255,,,,0.0,0.0,0.0,,,,51676
11063,,,,0.0,0.0,0.0,,,,190029
126788,,,,0.0,0.0,0.0,,,,32005
99078,1.0,2.0,3.0,0.0,-0.3333333333333333,-0.25,1.0,3.0,4.0,171814
131213,,,,0.0,0.0,0.0,,,,73462
117233,,,,0.0,0.0,0.0,,,,21529
107640,,,,0.0,0.0,0.0,,,,163153
43562,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,165102
56516,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,94629
99705,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,66363
96409,,,,0.0,0.0,0.0,,,,77840
120510,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,117047
73670,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,103134
87691,1.0,2.0,3.0,0.0,0.0,0.5,1.0,2.0,2.0,87505
118929,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,191473
142240,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,138472
14640,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,156989
61888,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,96720
24057,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,136604
18165,,,,0.0,0.0,0.0,,,,91560
42390,1.0,2.0,3.0,0.0,-0.3333333333333333,-0.4,1.0,3.0,5.0,97280
69302,,,,0.0,0.0,0.0,,,,160295
93087,1.0,2.0,3.0,0.0,0.0,0.5,1.0,2.0,2.0,114785
117054,1.0,3.0,4.0,-0.5,0.0,-0.2,2.0,3.0,5.0,7694
8349,,,,0.0,0.0,0.0,,,,83291
139634,,,,0.0,0.0,0.0,,,,11533
9099,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,164875
10795,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,87979
50754,,,,0.0,0.0,0.0,,,,133767
86586,,,,0.0,0.0,0.0,,,,122162
2951,,,,0.0,0.0,0.0,,,,63496
132993,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,182141
71928,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,108247
132820,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,57291
34806,,,,0.0,0.0,0.0,,,,105649
6275,,,,0.0,0.0,0.0,,,,46042
159450,,,,0.0,0.0,0.0,,,,14568
52444,,,,0.0,0.0,0.0,,,,198361
70945,,,,0.0,0.0,0.0,,,,64838
109139,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,167124
2723,,,,0.0,0.0,0.0,,,,107836
