mac_cnt_1m,mac_cnt_2m,mac_cnt_3m,mac_cnt_d1m,mac_cnt_d2m,mac_cnt_d3m,mac_cnt_p1m,mac_cnt_p2m,mac_cnt_p3m,client_id
124395,,,,0.0,0.0,0.0,,,,8089
27909,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,49371
115273,,,,0.0,0.0,0.0,,,,3697
111953,2.0,5.0,7.0,-0.3333333333333333,0.0,0.0,3.0,5.0,7.0,193830
76935,1.0,2.0,3.0,0.0,0.0,-0.25,1.0,2.0,4.0,56886
114589,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,174953
158878,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,113609
7895,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,43983
113858,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,62820
3733,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,182677
110681,,,,0.0,0.0,0.0,,,,110098
133900,,,,0.0,0.0,0.0,,,,80549
118480,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,161721
72212,,,,0.0,0.0,0.0,,,,29541
28116,,,,0.0,0.0,0.0,,,,160421
93420,,,,0.0,0.0,0.0,,,,28736
5069,,,,0.0,0.0,0.0,,,,24077
66346,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,131386
20226,,,,0.0,0.0,0.0,,,,98768
85134,1.0,2.0,3.0,0.0,0.0,-0.25,1.0,2.0,4.0,50604
109675,,,,0.0,0.0,0.0,,,,4812
100655,2.0,3.0,4.0,1.0,0.5,0.3333333333333333,1.0,2.0,3.0,194412
34625,,,,0.0,0.0,0.0,,,,195085
53823,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,94437
51015,,,,0.0,0.0,0.0,,,,9508
121170,,,,0.0,0.0,0.0,,,,82580
55871,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,58091
68162,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,189023
131258,,,,0.0,0.0,0.0,,,,184041
102070,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,134311
8415,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,184422
23275,,,,0.0,0.0,0.0,,,,91455
63462,,,,0.0,0.0,0.0,,,,186059
72728,,,,0.0,0.0,0.0,,,,67684
76126,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,174472
50078,,,,0.0,0.0,0.0,,,,45426
126136,,,,0.0,0.0,0.0,,,,190299
8768,,,,0.0,0.0,0.0,,,,147876
156718,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,198834
25863,,,,0.0,0.0,0.0,,,,89573
149329,,,,0.0,0.0,0.0,,,,101633
118062,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,106399
23041,,,,0.0,0.0,0.0,,,,142659
91623,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,171299
147794,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,153301
25883,,,,0.0,0.0,0.0,,,,200403
146665,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,193915
14928,1.0,3.0,4.0,-0.5,0.0,0.0,2.0,3.0,4.0,164682
36012,,,,0.0,0.0,0.0,,,,121948
11300,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,1622
24662,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,127144
93932,,,,0.0,0.0,0.0,,,,153167
38907,,,,0.0,0.0,0.0,,,,85573
95596,,,,0.0,0.0,0.0,,,,42085
111404,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,170370
19999,,,,0.0,0.0,0.0,,,,143813
114411,1.0,5.0,6.0,-0.75,1.5,1.0,4.0,2.0,3.0,68603
48746,,,,0.0,0.0,0.0,,,,191715
52135,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,103155
132455,,,,0.0,0.0,0.0,,,,157988
107805,,,,0.0,0.0,0.0,,,,153419
103513,,,,0.0,0.0,0.0,,,,158309
137767,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,19073
123700,,,,0.0,0.0,0.0,,,,71100
27795,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,76175
2691,,,,0.0,0.0,0.0,,,,10711
148025,1.0,2.0,3.0,0.0,0.0,0.5,1.0,2.0,2.0,92253
104905,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,34333
24852,,,,0.0,0.0,0.0,,,,99986
4967,,,,0.0,0.0,0.0,,,,69002
40750,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,170491
8682,,,,0.0,0.0,0.0,,,,86701
65315,,,,0.0,0.0,0.0,,,,140118
