hex_id10_1m,hex_id11_1m,hex_id12_1m,hex_id6_1m,hex_id7_1m,hex_id8_1m,hex_id9_1m,client_id
124395,,,,,,,,8089
27909,,,,,,,,49371
115273,,,,,,,,3697
111953,,,,,,,,193830
76935,,,,,,,,56886
114589,,,,,,,,174953
158878,,,,,,,,113609
7895,,,,,,,,43983
113858,,,,,,,,62820
3733,,,,,,,,182677
110681,,,,,,,,110098
133900,,,,,,,,80549
118480,,,,,,,,161721
72212,,,,,,,,29541
28116,,,,,,,,160421
93420,,,,,,,,28736
5069,,,,,,,,24077
66346,,,,,,,,131386
20226,,,,,,,,98768
85134,,,,,,,,50604
109675,,,,,,,,4812
100655,,,,,,,,194412
34625,,,,,,,,195085
53823,,,,,,,,94437
51015,,,,,,,,9508
121170,,,,,,,,82580
55871,,,,,,,,58091
68162,,,,,,,,189023
131258,,,,,,,,184041
102070,,,,,,,,134311
8415,,,,,,,,184422
23275,,,,,,,,91455
63462,,,,,,,,186059
72728,,,,,,,,67684
76126,,,,,,,,174472
50078,,,,,,,,45426
126136,,,,,,,,190299
8768,,,,,,,,147876
156718,,,,,,,,198834
25863,,,,,,,,89573
149329,,,,,,,,101633
118062,,,,,,,,106399
23041,,,,,,,,142659
91623,,,,,,,,171299
147794,,,,,,,,153301
25883,,,,,,,,200403
146665,,,,,,,,193915
14928,,,,,,,,164682
36012,,,,,,,,121948
11300,,,,,,,,1622
24662,,,,,,,,127144
93932,,,,,,,,153167
38907,,,,,,,,85573
95596,,,,,,,,42085
111404,,,,,,,,170370
19999,,,,,,,,143813
114411,,,,,,,,68603
48746,,,,,,,,191715
52135,,,,,,,,103155
132455,,,,,,,,157988
107805,,,,,,,,153419
103513,,,,,,,,158309
137767,,,,,,,,19073
123700,,,,,,,,71100
27795,,,,,,,,76175
2691,,,,,,,,10711
148025,,,,,,,,92253
104905,,,,,,,,34333
24852,,,,,,,,99986
4967,,,,,,,,69002
40750,,,,,,,,170491
8682,,,,,,,,86701
65315,,,,,,,,140118
152608,,,,,,,,182205
29258,,,,,,,,170702
50036,,,,,,,,52617
154489,,,,,,,,87948
14931,,,,,,,,10092
84934,,,,,,,,95609
134729,,,,,,,,193965
93542,,,,,,,,21491
32786,,,,,,,,6077
51343,,,,,,,,157981
9917,,,,,,,,81369
150431,,,,,,,,150954
71657,,,,,,,,6131
14596,,,,,,,,159095
42421,,,,,,,,114034
118582,,,,,,,,171664
102217,,,,,,,,33555
151085,,,,,,,,53187
103812,,,,,,,,42332
23150,,,,,,,,76494
153961,,,,,,,,48117
124709,,,,,,,,188652
67549,,,,,,,,170376
21325,,,,,,,,36591
35710,,,,,,,,44817
137204,,,,,,,,74018
28350,,,,,,,,89547
75251,,,,,,,,17128
136007,,,,,,,,28258
30862,,,,,,,,143244
6034,,,,,,,,91473
78006,,,,,,,,152180
160058,,,,,,,,126750
125563,,,,,,,,11274
6102,,,,,,,,149097
54519,,,,,,,,177971
35154,,,,,,,,13877
25776,,,,,,,,158586
8524,,,,,,,,65591
110812,,,,,,,,99416
157317,,,,,,,,120189
47014,,,,,,,,179330
156555,,,,,,,,154269
58572,,,,,,,,37112
32187,,,,,,,,178097
112955,,,,,,,,195306
46230,,,,,,,,156850
85439,,,,,,,,158031
7738,,,,,,,,98946
102987,,,,,,,,21733
4288,,,,,,,,123986
143431,,,,,,,,173262
14232,,,,,,,,83292
149503,,,,,,,,7705
143317,,,,,,,,58690
2152,,,,,,,,46597
139130,,,,,,,,35034
130079,,,,,,,,126205
97490,,,,,,,,186806
112817,,,,,,,,137351
101988,,,,,,,,157000
90023,,,,,,,,103231
62916,,,,,,,,24941
71872,,,,,,,,128059
113103,,,,,,,,160810
150944,,,,,,,,92701
97149,,,,,,,,179341
74193,,,,,,,,107609
153292,,,,,,,,7613
121281,,,,,,,,81959
62644,,,,,,,,58200
14191,,,,,,,,135512
34588,,,,,,,,134834
87353,,,,,,,,133842
131894,,,,,,,,52803
127816,,,,,,,,95109
63492,,,,,,,,168117
89099,,,,,,,,67775
92702,,,,,,,,140530
106025,,,,,,,,43803
97512,,,,,,,,16895
80617,,,,,,,,45474
65220,,,,,,,,31540
82316,,,,,,,,79157
154380,,,,,,,,61059
156531,,,,,,,,140751
96382,,,,,,,,168448
98160,,,,,,,,148153
81832,,,,,,,,111917
86546,,,,,,,,85702
61813,,,,,,,,122437
79104,,,,,,,,189298
118978,,,,,,,,24715
156050,,,,,,,,59172
121979,,,,,,,,43878
134106,,,,,,,,61008
137255,,,,,,,,116921
116551,,,,,,,,144707
72313,,,,,,,,100593
32921,,,,,,,,30433
142852,,,,,,,,183436
149802,,,,,,,,108057
77728,,,,,,,,122636
30917,,,,,,,,95046
34479,,,,,,,,59230
74744,,,,,,,,120414
159256,,,,,,,,131205
103649,,,,,,,,130452
14895,,,,,,,,115158
112255,,,,,,,,149236
4926,,,,,,,,9376
128452,,,,,,,,5883
124651,,,,,,,,143655
27275,,,,,,,,122547
27855,,,,,,,,165077
118433,,,,,,,,99084
88021,,,,,,,,185298
5258,,,,,,,,56191
16166,,,,,,,,75356
92083,,,,,,,,136373
110807,,,,,,,,11744
74713,,,,,,,,637
64210,,,,,,,,45711
9298,,,,,,,,18068
43639,,,,,,,,21236
66720,,,,,,,,201131
116491,,,,,,,,104101
136932,,,,,,,,88593
92641,,,,,,,,182774
44495,,,,,,,,16045
64249,,,,,,,,86542
91563,,,,,,,,34867
29421,,,,,,,,30353
8281,,,,,,,,174817
151032,,,,,,,,29251
160265,,,,,,,,147358
49881,,,,,,,,54627
72744,,,,,,,,193999
19147,,,,,,,,200017
10205,,,,,,,,188740
101823,,,,,,,,79136
5913,,,,,,,,74342
15089,,,,,,,,113706
112023,,,,,,,,31360
3147,,,,,,,,185367
24237,,,,,,,,38286
31311,,,,,,,,20603
110695,,,,,,,,11011
125662,,,,,,,,173127
145160,,,,,,,,21346
146629,,,,,,,,69421
16596,,,,,,,,104715
132681,,,,,,,,86482
39119,,,,,,,,82508
53552,,,,,,,,112354
20946,,,,,,,,5983
90563,,,,,,,,192877
8798,,,,,,,,154984
62928,,,,,,,,66651
50558,,,,,,,,93904
54959,,,,,,,,172031
9544,,,,,,,,133378
10214,,,,,,,,118032
79787,,,,,,,,200024
135303,,,,,,,,95266
76771,,,,,,,,149394
6437,,,,,,,,125859
20412,,,,,,,,128092
45542,,,,,,,,199752
124229,,,,,,,,7262
68067,,,,,,,,26016
79311,,,,,,,,171950
4826,,,,,,,,189010
6831,,,,,,,,115570
87042,,,,,,,,5656
65915,,,,,,,,95948
104165,,,,,,,,102166
141762,,,,,,,,21516
76639,,,,,,,,161026
115084,,,,,,,,49549
82608,,,,,,,,61680
78923,,,,,,,,91406
15245,,,,,,,,61315
142145,,,,,,,,30333
107807,,,,,,,,84740
135499,,,,,,,,141896
141216,,,,,,,,143255
81450,,,,,,,,9471
93021,,,,,,,,20337
39017,,,,,,,,164209
40201,,,,,,,,56649
110517,,,,,,,,165808
5854,,,,,,,,7544
51756,,,,,,,,103953
2242,,,,,,,,85721
114293,,,,,,,,93734
127957,,,,,,,,132634
11869,,,,,,,,125689
44912,,,,,,,,73792
46366,,,,,,,,131068
15496,,,,,,,,11535
151948,,,,,,,,184458
126881,,,,,,,,183079
84443,,,,,,,,76426
59042,,,,,,,,109164
40088,,,,,,,,1200
53097,,,,,,,,32475
33555,,,,,,,,153638
54964,,,,,,,,137265
45614,,,,,,,,21967
109229,,,,,,,,37704
29236,,,,,,,,153049
37271,,,,,,,,84494
1396,,,,,,,,180483
115933,,,,,,,,103238
70647,,,,,,,,42762
28840,,,,,,,,187271
18339,,,,,,,,140688
56576,,,,,,,,122123
160458,,,,,,,,197535
151936,,,,,,,,33165
5871,,,,,,,,182828
25817,,,,,,,,24045
76401,,,,,,,,178474
96772,,,,,,,,7189
7602,,,,,,,,55588
140829,,,,,,,,88693
32438,,,,,,,,166741
108403,,,,,,,,57550
76476,,,,,,,,191503
148501,,,,,,,,191549
11956,,,,,,,,126639
113595,,,,,,,,130693
4123,,,,,,,,177877
81760,,,,,,,,30296
30427,,,,,,,,6861
93906,,,,,,,,57580
142862,,,,,,,,36993
109069,,,,,,,,56578
47557,,,,,,,,88177
97900,,,,,,,,98476
112648,,,,,,,,31771
125397,,,,,,,,97691
34713,,,,,,,,48364
86385,,,,,,,,49369
35196,,,,,,,,194351
136099,,,,,,,,134406
126229,,,,,,,,148061
45970,,,,,,,,22972
102369,,,,,,,,77152
41027,,,,,,,,78954
57437,,,,,,,,199551
33568,,,,,,,,97284
78143,,,,,,,,152898
99092,,,,,,,,189056
46209,,,,,,,,64938
112573,,,,,,,,105090
107370,,,,,,,,19690
20056,,,,,,,,47608
55352,,,,,,,,173516
58266,,,,,,,,10312
78858,,,,,,,,4640
156930,,,,,,,,106000
158167,,,,,,,,99473
55429,,,,,,,,116713
12082,,,,,,,,90197
123572,,,,,,,,31653
130208,,,,,,,,189377
39224,,,,,,,,115864
17457,,,,,,,,12174
15671,,,,,,,,176138
116311,,,,,,,,70792
130838,,,,,,,,85401
100140,,,,,,,,104145
46465,,,,,,,,149068
24837,,,,,,,,32654
31756,,,,,,,,147054
2034,,,,,,,,95293
3017,,,,,,,,162574
2506,,,,,,,,17925
38648,,,,,,,,58279
156412,,,,,,,,182921
157322,,,,,,,,178124
42341,,,,,,,,84246
32308,,,,,,,,192863
64126,,,,,,,,155882
93615,,,,,,,,83890
25783,,,,,,,,3661
81194,,,,,,,,52137
82723,,,,,,,,33725
103760,,,,,,,,50712
6691,,,,,,,,21779
71458,,,,,,,,49964
37114,,,,,,,,104070
24140,,,,,,,,106727
35311,,,,,,,,100887
116118,,,,,,,,191118
102535,,,,,,,,169682
94268,,,,,,,,113031
96511,,,,,,,,188978
116731,,,,,,,,128869
151261,,,,,,,,29176
158123,,,,,,,,59559
141656,,,,,,,,112630
77483,,,,,,,,142175
127360,,,,,,,,143034
27570,,,,,,,,191126
38263,,,,,,,,123582
13185,,,,,,,,40556
140670,,,,,,,,190451
20724,,,,,,,,125965
95917,,,,,,,,85755
39543,,,,,,,,101024
68255,,,,,,,,51676
