hex_id10_1m,hex_id11_1m,hex_id12_1m,hex_id6_1m,hex_id7_1m,hex_id8_1m,hex_id9_1m,client_id
112338,,,,,,,,141999
70050,,,,,,,,35443
3288,,,,,,,,111952
83285,,,,,,,,5909
76384,,,,,,,,132882
138631,,,,,,,,162324
26503,,,,,,,,124611
104957,,,,,,,,30401
8346,,,,,,,,143561
157522,,,,,,,,136763
118855,,,,,,,,54683
17923,,,,,,,,161950
31171,,,,,,,,123295
148698,,,,,,,,155203
143301,,,,,,,,197436
98722,,,,,,,,20080
90274,,,,,,,,15548
87983,,,,,,,,191672
148695,,,,,,,,101745
133766,,,,,,,,144599
54465,,,,,,,,155531
56294,,,,,,,,171112
36739,,,,,,,,31159
13224,,,,,,,,183647
92247,,,,,,,,22051
4417,,,,,,,,28497
141071,,,,,,,,51206
139909,,,,,,,,135147
26424,,,,,,,,68674
63043,,,,,,,,1027
93954,,,,,,,,53647
114931,,,,,,,,35980
7272,,,,,,,,49597
52189,,,,,,,,58778
2645,,,,,,,,84260
12508,,,,,,,,119700
33330,,,,,,,,183516
127236,,,,,,,,165998
81503,,,,,,,,57910
22766,,,,,,,,154048
87223,,,,,,,,15447
55075,,,,,,,,134231
71676,,,,,,,,79289
85809,,,,,,,,115038
158023,,,,,,,,43543
83560,,,,,,,,21106
36669,,,,,,,,23734
75446,,,,,,,,94415
159831,,,,,,,,101539
148901,,,,,,,,169809
50364,,,,,,,,192629
83704,,,,,,,,186854
99919,,,,,,,,127844
133811,,,,,,,,55533
92437,,,,,,,,30782
105519,,,,,,,,86809
64182,,,,,,,,189957
150286,,,,,,,,97175
71729,,,,,,,,71204
24172,,,,,,,,131540
34104,,,,,,,,165341
137999,,,,,,,,158291
37996,,,,,,,,168968
91478,,,,,,,,49182
115612,,,,,,,,113782
133001,,,,,,,,97660
139019,,,,,,,,134824
58742,,,,,,,,54909
68322,,,,,,,,3262
155916,,,,,,,,145661
69243,,,,,,,,38281
61780,,,,,,,,143791
18350,,,,,,,,21361
116163,,,,,,,,20407
158919,,,,,,,,13393
82470,,,,,,,,183161
33297,,,,,,,,192737
151602,,,,,,,,21514
67595,,,,,,,,51134
24976,,,,,,,,19405
159935,,,,,,,,139003
110620,,,,,,,,48525
45731,,,,,,,,77542
56009,,,,,,,,100878
46972,,,,,,,,129303
24604,,,,,,,,86439
114601,,,,,,,,120784
114268,,,,,,,,92394
65373,,,,,,,,113802
9833,,,,,,,,18318
17470,,,,,,,,58250
81689,,,,,,,,195202
105951,,,,,,,,63128
111705,,,,,,,,94648
32305,,,,,,,,102625
125578,,,,,,,,105143
150962,,,,,,,,117897
78509,,,,,,,,60948
100983,,,,,,,,168945
144267,,,,,,,,86107
123653,,,,,,,,109533
31584,,,,,,,,39307
14124,,,,,,,,116227
125235,,,,,,,,163481
60138,,,,,,,,114561
151916,,,,,,,,112564
61364,,,,,,,,38660
50032,,,,,,,,41884
142605,,,,,,,,138306
104106,,,,,,,,142492
95794,,,,,,,,5914
31309,,,,,,,,15335
64418,,,,,,,,182527
49914,,,,,,,,115433
17979,,,,,,,,109960
157874,,,,,,,,111706
89270,,,,,,,,156272
46127,,,,,,,,86679
106091,,,,,,,,6767
32314,,,,,,,,105357
25584,,,,,,,,8946
45857,,,,,,,,170881
53913,,,,,,,,193147
22891,,,,,,,,120502
112720,,,,,,,,8747
86155,,,,,,,,144423
43545,,,,,,,,64665
103740,,,,,,,,183466
77607,,,,,,,,56296
110272,,,,,,,,126739
94089,,,,,,,,32651
115660,,,,,,,,79286
123917,,,,,,,,200313
24219,,,,,,,,114501
98659,,,,,,,,102199
23169,,,,,,,,115538
144204,,,,,,,,2990
61933,,,,,,,,11449
59518,,,,,,,,25486
23190,,,,,,,,115088
17768,,,,,,,,177116
119014,,,,,,,,95737
113374,,,,,,,,168833
139617,,,,,,,,2358
120472,,,,,,,,101260
106079,,,,,,,,58385
101933,,,,,,,,192362
22912,,,,,,,,70307
49893,,,,,,,,13680
105009,,,,,,,,169053
92161,,,,,,,,194951
91376,,,,,,,,62323
131390,,,,,,,,131026
79875,,,,,,,,16109
96021,,,,,,,,19797
101074,,,,,,,,58776
144246,,,,,,,,40549
139308,,,,,,,,34448
31504,,,,,,,,49806
55050,,,,,,,,111131
157466,,,,,,,,183804
90875,,,,,,,,126996
17752,,,,,,,,24250
107007,,,,,,,,160887
100609,,,,,,,,75580
34850,,,,,,,,88729
117386,,,,,,,,98754
82908,,,,,,,,170901
103512,,,,,,,,108087
78398,,,,,,,,142036
132164,,,,,,,,89677
30843,,,,,,,,177158
66688,,,,,,,,46050
96017,,,,,,,,163331
76736,,,,,,,,46898
62159,,,,,,,,140436
61828,,,,,,,,16292
40473,,,,,,,,129409
156295,,,,,,,,77561
39022,,,,,,,,26755
73843,,,,,,,,80847
62031,,,,,,,,99829
102370,,,,,,,,178862
903,,,,,,,,132303
97776,,,,,,,,62618
52105,,,,,,,,85559
49263,,,,,,,,155576
142180,,,,,,,,23910
148211,,,,,,,,89663
137561,,,,,,,,83868
114235,,,,,,,,175176
45883,,,,,,,,32380
33597,,,,,,,,13415
62100,,,,,,,,199533
39968,,,,,,,,90005
53663,,,,,,,,133429
49325,,,,,,,,198806
153574,,,,,,,,169988
100903,,,,,,,,127164
49539,,,,,,,,8673
83318,,,,,,,,18302
14827,,,,,,,,81372
119741,,,,,,,,26738
121580,,,,,,,,80028
93395,,,,,,,,119520
78882,,,,,,,,125518
79094,,,,,,,,160392
132539,,,,,,,,189778
15363,,,,,,,,40023
39949,,,,,,,,18062
157844,,,,,,,,14283
112151,,,,,,,,138045
159274,,,,,,,,138067
73519,,,,,,,,42223
106574,,,,,,,,100800
70181,,,,,,,,28732
9406,,,,,,,,780
72983,,,,,,,,65073
41622,,,,,,,,121298
49573,,,,,,,,130516
13149,,,,,,,,113755
82726,,,,,,,,180095
158964,,,,,,,,8057
108007,,,,,,,,58552
23963,,,,,,,,42325
151951,,,,,,,,16555
154498,,,,,,,,100976
94136,,,,,,,,28654
59520,,,,,,,,98744
75168,,,,,,,,139371
134935,,,,,,,,13885
126567,,,,,,,,143494
41833,,,,,,,,71790
29519,,,,,,,,195888
39072,,,,,,,,133860
125496,,,,,,,,108896
25719,,,,,,,,66076
81524,,,,,,,,192588
34615,,,,,,,,188403
94654,,,,,,,,150479
1258,,,,,,,,61235
148217,,,,,,,,89434
110847,,,,,,,,102584
54048,,,,,,,,149057
145964,,,,,,,,103949
59357,,,,,,,,168258
78800,,,,,,,,73305
3989,,,,,,,,59722
108070,,,,,,,,33957
56784,,,,,,,,86249
84149,,,,,,,,16923
155953,,,,,,,,159093
81139,,,,,,,,83075
6383,,,,,,,,103265
131434,,,,,,,,36338
35671,,,,,,,,5261
31662,,,,,,,,179877
37507,,,,,,,,95875
15152,,,,,,,,127091
70850,,,,,,,,45183
7403,,,,,,,,6660
122090,,,,,,,,172377
7215,,,,,,,,121902
61221,,,,,,,,179651
4986,,,,,,,,198592
28518,,,,,,,,138257
127979,,,,,,,,148204
62806,,,,,,,,132372
13787,,,,,,,,113948
78286,,,,,,,,44028
155828,,,,,,,,141372
10208,,,,,,,,30067
5217,,,,,,,,77546
37392,,,,,,,,119409
136267,,,,,,,,45699
104196,,,,,,,,111106
48800,,,,,,,,59186
70907,,,,,,,,100347
40882,,,,,,,,79885
159015,,,,,,,,70919
127424,,,,,,,,75170
94881,,,,,,,,137623
26420,,,,,,,,166059
77375,,,,,,,,119333
103590,,,,,,,,49940
44838,,,,,,,,162752
111324,,,,,,,,82281
84378,,,,,,,,157633
58374,,,,,,,,125461
139248,,,,,,,,165565
32943,,,,,,,,188477
97728,,,,,,,,30680
96778,,,,,,,,164165
86652,,,,,,,,158948
90250,,,,,,,,79625
145200,,,,,,,,171133
143875,,,,,,,,147284
131405,,,,,,,,110841
11055,,,,,,,,123514
45643,,,,,,,,20549
157773,,,,,,,,46150
12288,,,,,,,,185830
10095,,,,,,,,85616
36880,,,,,,,,26928
150033,,,,,,,,136735
149180,,,,,,,,92839
42350,,,,,,,,176087
40825,,,,,,,,135509
37862,,,,,,,,104772
133857,,,,,,,,163664
16342,,,,,,,,49187
47851,,,,,,,,197194
83295,,,,,,,,179657
97192,,,,,,,,122716
160128,,,,,,,,79974
16876,,,,,,,,138648
27715,,,,,,,,133861
104010,,,,,,,,40045
27885,,,,,,,,144486
22742,,,,,,,,175706
159834,,,,,,,,93450
114682,,,,,,,,91654
153022,,,,,,,,9071
123179,,,,,,,,69325
90865,,,,,,,,13175
89342,,,,,,,,181149
148449,,,,,,,,7656
45368,,,,,,,,198432
127904,,,,,,,,91760
97087,,,,,,,,56417
51263,,,,,,,,126306
72340,,,,,,,,168984
6655,,,,,,,,85342
86242,,,,,,,,158035
23489,,,,,,,,184651
71083,,,,,,,,150493
150739,,,,,,,,129548
148569,,,,,,,,54147
76297,,,,,,,,107319
79047,,,,,,,,92331
60193,,,,,,,,63674
149790,,,,,,,,135277
51028,,,,,,,,1961
77227,,,,,,,,200937
37097,,,,,,,,107211
137805,,,,,,,,27884
153041,,,,,,,,114795
92975,,,,,,,,186227
32986,,,,,,,,13931
90713,,,,,,,,130732
109938,,,,,,,,47698
160206,,,,,,,,88672
138987,,,,,,,,158830
43678,,,,,,,,44342
57583,,,,,,,,75104
152478,,,,,,,,17992
136540,,,,,,,,3830
10992,,,,,,,,184313
45778,,,,,,,,26791
154448,,,,,,,,192206
115600,,,,,,,,8051
60703,,,,,,,,45014
71825,,,,,,,,188120
26371,,,,,,,,47531
5964,,,,,,,,196704
46271,,,,,,,,182007
157047,,,,,,,,95926
25372,,,,,,,,10239
35668,,,,,,,,97671
19707,,,,,,,,112872
123950,,,,,,,,152503
40968,,,,,,,,124690
104779,,,,,,,,141752
119397,,,,,,,,163524
48156,,,,,,,,165881
97456,,,,,,,,70314
87138,,,,,,,,86427
102922,,,,,,,,57107
117727,,,,,,,,102755
13739,,,,,,,,11606
47008,,,,,,,,61970
120957,,,,,,,,168441
121924,,,,,,,,158913
133471,,,,,,,,135016
9436,,,,,,,,198302
24130,,,,,,,,79020
93111,,,,,,,,62613
8242,,,,,,,,77258
152515,,,,,,,,31215
52629,,,,,,,,154520
69248,,,,,,,,32512
147645,,,,,,,,36005
5494,,,,,,,,55358
124525,,,,,,,,183372
44834,,,,,,,,154195
115777,,,,,,,,101625
99133,,,,,,,,189535
72696,,,,,,,,142113
21292,,,,,,,,17248
495,,,,,,,,133177
75398,,,,,,,,47398
89696,,,,,,,,48770
85348,,,,,,,,39764
115626,,,,,,,,174772
147027,,,,,,,,104837
10495,,,,,,,,69109
128443,,,,,,,,35434
144652,,,,,,,,57747
61757,,,,,,,,50589
99231,,,,,,,,63904
120124,,,,,,,,9775
24734,,,,,,,,95019
157428,,,,,,,,3852
63886,,,,,,,,65552
155079,,,,,,,,50920
22715,,,,,,,,179090
38374,,,,,,,,96420
68733,,,,,,,,11351
113096,,,,,,,,170100
37340,,,,,,,,89612
79433,,,,,,,,96510
12218,,,,,,,,25624
35318,,,,,,,,90993
35761,,,,,,,,53452
8595,,,,,,,,18479
35544,,,,,,,,147723
102447,,,,,,,,125255
150116,,,,,,,,199993
11020,,,,,,,,2709
46118,,,,,,,,27957
17849,,,,,,,,139419
84282,,,,,,,,101371
103105,,,,,,,,29726
136558,,,,,,,,165062
101229,,,,,,,,26927
114594,,,,,,,,85474
122883,,,,,,,,7581
154552,,,,,,,,60262
29281,,,,,,,,38351
104865,,,,,,,,153704
109105,,,,,,,,173809
147319,,,,,,,,86380
130830,,,,,,,,7689
91975,,,,,,,,75236
63606,,,,,,,,183364
47478,,,,,,,,177893
145719,,,,,,,,45721
141632,,,,,,,,157719
36854,,,,,,,,128302
31056,,,,,,,,184894
150937,,,,,,,,94652
19765,,,,,,,,93155
148629,,,,,,,,70429
98184,,,,,,,,145346
64565,,,,,,,,75995
130536,,,,,,,,190041
94647,,,,,,,,160037
149284,,,,,,,,126536
69778,,,,,,,,150028
108795,,,,,,,,143489
73226,,,,,,,,88560
63145,,,,,,,,92827
48259,,,,,,,,99915
7593,,,,,,,,183450
87714,,,,,,,,39101
52903,,,,,,,,172196
59249,,,,,,,,165249
46493,,,,,,,,87993
118022,,,,,,,,85961
92642,,,,,,,,74352
125769,,,,,,,,49215
19004,,,,,,,,13340
74245,,,,,,,,134753
65366,,,,,,,,191933
24127,,,,,,,,61500
99505,,,,,,,,35581
45398,,,,,,,,16695
22438,,,,,,,,175512
24799,,,,,,,,80283
121822,,,,,,,,80800
26365,,,,,,,,52657
109926,,,,,,,,116082
6470,,,,,,,,165793
113625,,,,,,,,7168
67065,,,,,,,,12484
59165,,,,,,,,87624
16975,,,,,,,,110310
154809,,,,,,,,166810
104749,,,,,,,,182343
130885,,,,,,,,183782
148132,,,,,,,,65682
115637,,,,,,,,58001
133238,,,,,,,,67605
69963,,,,,,,,86200
35537,,,,,,,,196050
118343,,,,,,,,125707
86387,,,,,,,,165527
155384,,,,,,,,49171
157585,,,,,,,,28539
109936,,,,,,,,42079
67414,,,,,,,,4521
3429,,,,,,,,122250
114776,,,,,,,,79202
64728,,,,,,,,31621
100586,,,,,,,,60251
5958,,,,,,,,179555
138369,,,,,,,,81526
33318,,,,,,,,163826
