mac_cnt_1m,mac_cnt_2m,mac_cnt_3m,mac_cnt_d1m,mac_cnt_d2m,mac_cnt_d3m,mac_cnt_p1m,mac_cnt_p2m,mac_cnt_p3m,client_id
119803,,,,0.0,0.0,0.0,,,,155145
102468,,,,0.0,0.0,0.0,,,,145805
117013,1.0,2.0,4.0,0.0,-0.3333333333333333,0.3333333333333333,1.0,3.0,3.0,54041
54725,,,,0.0,0.0,0.0,,,,27007
146848,,,,0.0,0.0,0.0,,,,66004
127848,1.0,2.0,4.0,0.0,-0.3333333333333333,0.3333333333333333,1.0,3.0,3.0,73811
142362,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,3943
149491,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,190073
64794,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,189239
18447,,,,0.0,0.0,0.0,,,,186712
134084,1.0,3.0,4.0,-0.5,2.0,3.0,2.0,1.0,1.0,110839
8087,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,105228
76047,,,,0.0,0.0,0.0,,,,199621
147502,,,,0.0,0.0,0.0,,,,15005
10870,,,,0.0,0.0,0.0,,,,131943
110190,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,66725
94832,,,,0.0,0.0,-1.0,,,1.0,129797
36042,,,,0.0,0.0,0.0,,,,89625
159292,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,101535
61165,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,88236
126096,,,,0.0,0.0,0.0,,,,100555
140806,1.0,4.0,5.0,-0.6666666666666667,1.0,0.6666666666666667,3.0,2.0,3.0,156588
112107,,,,0.0,0.0,0.0,,,,39522
143310,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,134013
109312,,,,0.0,0.0,0.0,,,,45957
30279,,,,0.0,0.0,0.0,,,,150032
64685,1.0,3.0,4.0,-0.5,0.5,0.3333333333333333,2.0,2.0,3.0,162330
10521,,,,0.0,0.0,0.0,,,,74183
70558,,,,0.0,0.0,0.0,,,,83546
28095,2.0,4.0,6.0,0.0,0.0,0.5,2.0,4.0,4.0,83390
18495,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,117598
58191,,,,0.0,0.0,0.0,,,,133873
62187,,,,0.0,0.0,0.0,,,,181796
104136,,,,0.0,0.0,0.0,,,,44236
100819,,,,0.0,0.0,0.0,,,,96394
49500,,,,0.0,0.0,0.0,,,,68490
75026,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,40347
122615,2.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,6.0,157513
86431,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,52759
121340,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,56923
